pt_col1,pt_col2
Epithelioid mesothelioma,Epithelioid mesothelioma
Sarcomatoid mesothelioma,Sarcomatoid mesothelioma
Pericardial mesothelioma malignant,Pericardial mesothelioma malignant
Gallbladder adenosquamous carcinoma,Gallbladder adenosquamous carcinoma
Gallbladder squamous cell carcinoma,Gallbladder squamous cell carcinoma
Hepatic cancer,Hepatic cancer
Hepatic cancer recurrent,Hepatic cancer recurrent
Hepatocellular carcinoma,Hepatocellular carcinoma
Gallbladder neoplasm,Gallbladder neoplasm
Hepatobiliary cancer,Hepatobiliary cancer
Hepatobiliary cancer in situ,Hepatobiliary cancer in situ
Spontaneous cerebrospinal fluid leak syndrome,Spontaneous cerebrospinal fluid leak syndrome
Prescribed underdose,Prescribed underdose
Iris melanoma,Iris melanoma
Malignant sweat gland neoplasm,Malignant sweat gland neoplasm
Hidradenocarcinoma,Hidradenocarcinoma
Intraductal proliferative breast lesion,Intraductal proliferative breast lesion
Invasive ductal breast carcinoma,Invasive ductal breast carcinoma
Invasive lobular breast carcinoma,Invasive lobular breast carcinoma
Invasive papillary breast carcinoma,Invasive papillary breast carcinoma
Lobular breast carcinoma in situ,Lobular breast carcinoma in situ
Metaplastic breast carcinoma,Metaplastic breast carcinoma
Mucinous breast carcinoma,Mucinous breast carcinoma
Neuroendocrine breast tumour,Neuroendocrine breast tumour
Tubular breast carcinoma,Tubular breast carcinoma
Bone giant cell tumour malignant,Bone giant cell tumour malignant
Peripheral primitive neuroectodermal bone tumour,Peripheral primitive neuroectodermal bone tumour
Epididymal cancer,Epididymal cancer
Genital cancer male,Genital cancer male
Sertoli cell testicular tumour,Sertoli cell testicular tumour
Spermatocytic seminoma,Spermatocytic seminoma
Testicular germ cell tumour mixed,Testicular germ cell tumour mixed
Testicular malignant teratoma,Testicular malignant teratoma
Testicular yolk sac tumour,Testicular yolk sac tumour
Genital cancer male in situ,Genital cancer male in situ
Anaplastic meningioma,Anaplastic meningioma
Anaplastic oligodendroglioma,Anaplastic oligodendroglioma
Angiocentric glioma,Angiocentric glioma
Central nervous system neuroblastoma,Central nervous system neuroblastoma
Oligoastrocytoma,Oligoastrocytoma
Plasma cell myeloma in remission,Plasma cell myeloma in remission
Plasma cell myeloma recurrent,Plasma cell myeloma recurrent
Extraskeletal myxoid chondrosarcoma,Extraskeletal myxoid chondrosarcoma
Dedifferentiated liposarcoma,Dedifferentiated liposarcoma
Mixed-type liposarcoma,Mixed-type liposarcoma
Myxoid liposarcoma,Myxoid liposarcoma
Pleomorphic liposarcoma,Pleomorphic liposarcoma
Round cell liposarcoma,Round cell liposarcoma
Clear cell sarcoma of soft tissue,Clear cell sarcoma of soft tissue
Malignant giant cell fibrous histiocytoma,Malignant giant cell fibrous histiocytoma
Inflammatory malignant fibrous histiocytoma,Inflammatory malignant fibrous histiocytoma
Pleomorphic malignant fibrous histiocytoma,Pleomorphic malignant fibrous histiocytoma
Peripheral primitive neuroectodermal tumour of soft tissue,Peripheral primitive neuroectodermal tumour of soft tissue
Multiple endocrine neoplasia Type 2A,Multiple endocrine neoplasia Type 2A
Multiple endocrine neoplasia Type 2,Multiple endocrine neoplasia Type 2
Multiple endocrine neoplasia Type 1,Multiple endocrine neoplasia Type 1
Multiple endocrine neoplasia Type 2B,Multiple endocrine neoplasia Type 2B
Adrenal gland cancer,Adrenal gland cancer
Familial medullary thyroid cancer,Familial medullary thyroid cancer
Vessel puncture site induration,Vessel puncture site induration
Vessel puncture site infection,Vessel puncture site infection
Chance fracture,Chance fracture
Soluble fibrin monomer complex increased,Soluble fibrin monomer complex increased
Soluble fibrin monomer complex,Soluble fibrin monomer complex
Pyloric sphincter insufficiency,Pyloric sphincter insufficiency
Pseudohernia,Pseudohernia
Incision site dermatitis,Incision site dermatitis
Diastasis recti abdominis,Diastasis recti abdominis
Fat tissue decreased,Fat tissue decreased
Gonadotrophin releasing hormone deficiency,Gonadotrophin releasing hormone deficiency
Blood gonadotrophin releasing hormone,Blood gonadotrophin releasing hormone
Injection site plaque,Injection site plaque
Induction of cervix ripening,Induction of cervix ripening
Urinary bladder varices,Urinary bladder varices
Postponement of preterm delivery,Postponement of preterm delivery
Corticotropin-releasing hormone stimulation test,Corticotropin-releasing hormone stimulation test
Adrenocorticotropic hormone deficiency,Adrenocorticotropic hormone deficiency
Prostate interstitial hyperthermia therapy,Prostate interstitial hyperthermia therapy
Prostate cryoablation,Prostate cryoablation
Free androgen index,Free androgen index
Hyponatraemic seizure,Hyponatraemic seizure
Booster dose missed,Booster dose missed
Infantile cortical hyperostosis,Infantile cortical hyperostosis
Congenital intestinal obstruction,Congenital intestinal obstruction
Portal vein dilatation,Portal vein dilatation
Dystonic tremor,Dystonic tremor
Postural tremor,Postural tremor
Adrenal calcification,Adrenal calcification
Complete oral rehabilitation,Complete oral rehabilitation
Peptic ulcer helicobacter,Peptic ulcer helicobacter
Peripancreatic varices,Peripancreatic varices
Haemangioma embolisation,Haemangioma embolisation
Haemochromatosis trait,Haemochromatosis trait
Somatotropin stimulation test,Somatotropin stimulation test
Beta 2 microglobulin urine,Beta 2 microglobulin urine
Hepatitis A antigen,Hepatitis A antigen
Hepatitis A antigen negative,Hepatitis A antigen negative
Urine iron,Urine iron
Kenny-Caffey syndrome,Kenny-Caffey syndrome
Scleroderma associated digital ulcer,Scleroderma associated digital ulcer
Brain stem haematoma,Brain stem haematoma
Gastrointestinal dilation procedure,Gastrointestinal dilation procedure
Bone prosthesis insertion,Bone prosthesis insertion
Matrixectomy,Matrixectomy
Romberg test,Romberg test
Disseminated mucormycosis,Disseminated mucormycosis
Reversible cerebral vasoconstriction syndrome,Reversible cerebral vasoconstriction syndrome
Romberg test positive,Romberg test positive
Exserohilum test positive,Exserohilum test positive
Exserohilum infection,Exserohilum infection
Meningitis aspergillus,Meningitis aspergillus
Meningitis exserohilum,Meningitis exserohilum
Exserohilum test,Exserohilum test
Exserohilum test negative,Exserohilum test negative
Clear cell renal cell carcinoma,Clear cell renal cell carcinoma
Neoadjuvant therapy,Neoadjuvant therapy
Idiopathic angioedema,Idiopathic angioedema
Brenner tumour,Brenner tumour
Ovarian germ cell tumour mixed,Ovarian germ cell tumour mixed
Ovarian granulosa cell tumour,Ovarian granulosa cell tumour
Ovarian theca cell tumour,Ovarian theca cell tumour
Ovarian germ cell choriocarcinoma,Ovarian germ cell choriocarcinoma
Ovarian germ cell endodermal sinus tumour,Ovarian germ cell endodermal sinus tumour
Ovarian germ cell polyembryoma,Ovarian germ cell polyembryoma
Ovarian germ cell teratoma,Ovarian germ cell teratoma
Borderline mucinous tumour of ovary,Borderline mucinous tumour of ovary
Borderline serous tumour of ovary,Borderline serous tumour of ovary
Ovarian clear cell carcinoma,Ovarian clear cell carcinoma
Ovarian endometrioid carcinoma,Ovarian endometrioid carcinoma
Ovarian Sertoli-Leydig cell tumour,Ovarian Sertoli-Leydig cell tumour
Pancreastatin increased,Pancreastatin increased
Pancreastatin decreased,Pancreastatin decreased
Pancreastatin abnormal,Pancreastatin abnormal
Tracheobronchial stent removal,Tracheobronchial stent removal
Pathologic myopia,Pathologic myopia
Escherichia test,Escherichia test
Escherichia test negative,Escherichia test negative
Endometriosis male,Endometriosis male
Intravascular lipoma,Intravascular lipoma
Pituitary hyperplasia,Pituitary hyperplasia
Exposure via body fluid,Exposure via body fluid
Exposure via contaminated device,Exposure via contaminated device
Exposure via ingestion,Exposure via ingestion
Exposure via inhalation,Exposure via inhalation
Exposure to unspecified agent,Exposure to unspecified agent
Exposure to radiation,Exposure to radiation
Exposure to contaminated water,Exposure to contaminated water
Occupational exposure to product,Occupational exposure to product
Accidental exposure to product,Accidental exposure to product
Accidental exposure to product by child,Accidental exposure to product by child
White blood cell analysis normal,White blood cell analysis normal
White blood cell analysis abnormal,White blood cell analysis abnormal
Keratinising squamous cell carcinoma of nasopharynx,Keratinising squamous cell carcinoma of nasopharynx
Nonkeratinising carcinoma of nasopharynx,Nonkeratinising carcinoma of nasopharynx
Undifferentiated nasopharyngeal carcinoma,Undifferentiated nasopharyngeal carcinoma
Perineal injury,Perineal injury
Bladder denervation procedure,Bladder denervation procedure
Lenticular injury,Lenticular injury
Upper respiratory tract endoscopy,Upper respiratory tract endoscopy
Neuronophagia,Neuronophagia
Rhabdoid tumour,Rhabdoid tumour
Exposure via eye contact,Exposure via eye contact
Pelvic bone injury,Pelvic bone injury
Optic glioma,Optic glioma
Alveolar lung disease,Alveolar lung disease
Decorticate posture,Decorticate posture
Decerebrate posture,Decerebrate posture
Gallbladder papilloma,Gallbladder papilloma
Penile contusion,Penile contusion
Post procedural contusion,Post procedural contusion
Eye contusion,Eye contusion
Genital contusion,Genital contusion
Cardiac contusion,Cardiac contusion
Anal squamous cell carcinoma,Anal squamous cell carcinoma
Adenocarcinoma of appendix,Adenocarcinoma of appendix
Appendix cancer,Appendix cancer
Mucinous adenocarcinoma of appendix,Mucinous adenocarcinoma of appendix
Undifferentiated carcinoma of colon,Undifferentiated carcinoma of colon
Acinar cell carcinoma of pancreas,Acinar cell carcinoma of pancreas
Ductal adenocarcinoma of pancreas,Ductal adenocarcinoma of pancreas
Intraductal papillary-mucinous carcinoma of pancreas,Intraductal papillary-mucinous carcinoma of pancreas
Pancreatoblastoma,Pancreatoblastoma
Acinic cell carcinoma of salivary gland,Acinic cell carcinoma of salivary gland
Adenoid cystic carcinoma of salivary gland,Adenoid cystic carcinoma of salivary gland
Mucoepidermoid carcinoma of salivary gland,Mucoepidermoid carcinoma of salivary gland
Pleomorphic adenoma,Pleomorphic adenoma
Small intestine adenocarcinoma,Small intestine adenocarcinoma
Mitral face,Mitral face
Oedematous kidney,Oedematous kidney
Blister rupture,Blister rupture
Cholangiostomy,Cholangiostomy
Platelet dysfunction,Platelet dysfunction
Large intestine benign neoplasm,Large intestine benign neoplasm
Small intestine polyp,Small intestine polyp
Bilirubin conjugated decreased,Bilirubin conjugated decreased
Troponin I normal,Troponin I normal
Troponin T normal,Troponin T normal
CD4 lymphocytes normal,CD4 lymphocytes normal
Urine calcium normal,Urine calcium normal
Urine osmolarity normal,Urine osmolarity normal
Incision site rash,Incision site rash
Implant site hypoaesthesia,Implant site hypoaesthesia
Implant site hyperaesthesia,Implant site hyperaesthesia
Implant site pallor,Implant site pallor
Implant site photosensitivity,Implant site photosensitivity
Incision site ulcer,Incision site ulcer
Incision site hyperaesthesia,Incision site hyperaesthesia
Injection site hyperaesthesia,Injection site hyperaesthesia
Breast ulceration,Breast ulceration
Genital paraesthesia,Genital paraesthesia
Genital hyperaesthesia,Genital hyperaesthesia
Anal paraesthesia,Anal paraesthesia
Eye ulcer,Eye ulcer
Incision site vesicles,Incision site vesicles
Blood trypsin,Blood trypsin
Stool chymotrypsin,Stool chymotrypsin
Stool trypsin,Stool trypsin
Transferrin receptor assay,Transferrin receptor assay
Influenza C virus test,Influenza C virus test
Interleukin-2 receptor assay,Interleukin-2 receptor assay
Leukocyte alkaline phosphatase,Leukocyte alkaline phosphatase
Coxiella test,Coxiella test
Twin reversed arterial perfusion sequence malformation,Twin reversed arterial perfusion sequence malformation
Microcolon,Microcolon
Application site acne,Application site acne
Haemophobia,Haemophobia
Injection site joint discomfort,Injection site joint discomfort
Congenital retinoblastoma,Congenital retinoblastoma
Alcohol test false positive,Alcohol test false positive
Hydranencephaly,Hydranencephaly
Anaplastic large-cell lymphoma,Anaplastic large-cell lymphoma
Acute undifferentiated leukaemia,Acute undifferentiated leukaemia
B-cell prolymphocytic leukaemia,B-cell prolymphocytic leukaemia
Enteropathy-associated T-cell lymphoma,Enteropathy-associated T-cell lymphoma
Lipodermoid tumour,Lipodermoid tumour
Abdominal lymphadenopathy,Abdominal lymphadenopathy
Schizencephaly,Schizencephaly
Topectomy,Topectomy
Polymicrogyria,Polymicrogyria
Double cortex syndrome,Double cortex syndrome
Corpus callosotomy,Corpus callosotomy
Congenital malignant neoplasm,Congenital malignant neoplasm
Congenital benign neoplasm,Congenital benign neoplasm
Prompt effects of radiation,Prompt effects of radiation
Internal limiting membrane peeling,Internal limiting membrane peeling
Lacrimal structure injury,Lacrimal structure injury
Pupil constriction procedure,Pupil constriction procedure
Drug reaction with eosinophilia and systemic symptoms,Drug reaction with eosinophilia and systemic symptoms
Hyperammonaemic crisis,Hyperammonaemic crisis
Exposure during pregnancy,Exposure during pregnancy
Mycobacterial peritonitis,Mycobacterial peritonitis
